Mode,Ordering,Slots,TTFB Miliseconds,TTLB Miliseconds,Blocks,Id,ActualSlot
FixedBudget,Ordered,4,58.5417,116303.359,16384,286,2
FixedBudget,Unordered,4,264.5503,124428.1352,16384,287,1
EarlyClose,Ordered,4,56.0714,78468.6581,10840,288,2
EarlyClose,Unordered,4,66.1963,51385.141,6241,289,1
FixedBudget,Ordered,4,61.4821,114441.2495,16384,290,2
FixedBudget,Unordered,4,69.638,124648.7728,16384,291,0
EarlyClose,Ordered,4,59.8365,78359.0258,10382,292,2
EarlyClose,Unordered,4,65.1085,100958.8603,14699,293,3
FixedBudget,Ordered,4,60.9744,114988.5128,16384,294,2
FixedBudget,Unordered,4,149.2474,124892.8556,16384,295,0
EarlyClose,Ordered,4,57.866,77160.4961,10621,296,2
EarlyClose,Unordered,4,65.7773,103499.2659,14696,297,3
FixedBudget,Ordered,4,56.734,113973.6189,16384,298,2
FixedBudget,Unordered,4,67.8925,127414.5269,16384,299,1
EarlyClose,Ordered,4,61.4612,104978.847,14710,300,3
EarlyClose,Unordered,4,67.3749,27101.7132,1984,301,0
FixedBudget,Ordered,4,62.3334,114951.2194,16384,302,3
FixedBudget,Unordered,4,59.8704,123089.2394,16384,303,3
EarlyClose,Ordered,4,59.9172,104504.1857,14430,304,3
EarlyClose,Unordered,4,63.6884,77390.9931,10669,305,2
FixedBudget,Ordered,4,62.1998,119159.2273,16384,306,3
FixedBudget,Unordered,4,55.019,120337.5192,16384,307,1
EarlyClose,Ordered,4,60.4497,105132.4254,14226,308,3
EarlyClose,Unordered,4,72.1419,80198.6569,10527,309,2
FixedBudget,Ordered,4,63.2029,113794.2437,16384,310,3
FixedBudget,Unordered,4,58.7307,120876.2745,16384,311,0
EarlyClose,Ordered,4,59.0737,104728.6867,14618,312,3
EarlyClose,Unordered,4,65.2244,79560.5381,10572,313,2
FixedBudget,Ordered,4,62.3971,115640.5854,16384,314,3
FixedBudget,Unordered,4,57.8945,119416.5491,16384,315,1
EarlyClose,Ordered,4,79.9418,103912.8973,14589,316,3
EarlyClose,Unordered,4,63.3273,104286.3644,14852,317,3
FixedBudget,Ordered,4,77.689,115028.3734,16384,318,3
FixedBudget,Unordered,4,57.4566,121577.6879,16384,319,2
EarlyClose,Ordered,4,65.3171,104786.3048,14539,320,3
EarlyClose,Unordered,4,64.7825,27082.8425,1998,321,0
FixedBudget,Ordered,4,70.9709,114651.1649,16384,322,3
FixedBudget,Unordered,4,58.4705,122595.5542,16384,323,3
EarlyClose,Ordered,4,60.0765,106270.8121,14498,324,3
EarlyClose,Unordered,4,57.5218,106322.7845,14504,325,3
FixedBudget,Ordered,4,66.4956,116202.1908,16384,326,3
FixedBudget,Unordered,4,66.9629,123469.7109,16384,327,1
EarlyClose,Ordered,4,64.5863,104142.8508,14787,328,3
EarlyClose,Unordered,4,69.8547,51841.6174,6315,329,1
FixedBudget,Ordered,4,60.1847,118829.8323,16384,330,3
FixedBudget,Unordered,4,272.0915,124336.9839,16384,331,2
EarlyClose,Ordered,4,63.1668,107058.0694,14535,332,3
EarlyClose,Unordered,4,56.4818,101762.1626,14848,333,3
FixedBudget,Ordered,4,61.401,115752.0485,16384,334,3
FixedBudget,Unordered,4,68.5531,123520.927,16384,335,3
EarlyClose,Ordered,4,59.7929,105937.7245,14509,336,3
EarlyClose,Unordered,4,160.8486,104053.5946,14732,337,3
FixedBudget,Ordered,4,63.3936,119497.9601,16384,338,3
FixedBudget,Unordered,4,209.2999,124157.3062,16384,339,1
EarlyClose,Ordered,4,59.2649,105662.0865,14642,340,3
EarlyClose,Unordered,4,60.9672,104035.2881,14555,341,3
FixedBudget,Ordered,4,60.1328,118146.0919,16384,342,3
FixedBudget,Unordered,4,71.4789,123491.4411,16384,343,0
EarlyClose,Ordered,4,60.8343,105092.8465,14542,344,3
EarlyClose,Unordered,4,67.3527,27181.1858,1928,345,0
FixedBudget,Ordered,4,60.3551,115420.9823,16384,346,3
FixedBudget,Unordered,4,69.0014,123777.6931,16384,347,3
EarlyClose,Ordered,4,59.8098,105127.2893,14465,348,3
EarlyClose,Unordered,4,57.3896,52140.1197,6389,349,1
FixedBudget,Ordered,4,62.4372,120415.6123,16384,350,3
FixedBudget,Unordered,4,65.0906,125790.2442,16384,351,1
EarlyClose,Ordered,4,58.4102,104167.1709,14421,352,3
EarlyClose,Unordered,4,72.6694,102091.1947,14661,353,3
FixedBudget,Ordered,4,59.2944,117033.946,16384,354,3
FixedBudget,Unordered,4,70.6246,124315.6932,16384,355,3
EarlyClose,Ordered,4,58.4784,104258.3201,14597,356,3
EarlyClose,Unordered,4,62.799,27462.0417,1982,357,0
FixedBudget,Ordered,4,64.7994,116225.2385,16384,358,3
FixedBudget,Unordered,4,72.6336,125349.2009,16384,359,1
EarlyClose,Ordered,4,132.0556,104750.4175,14659,360,3
EarlyClose,Unordered,4,72.7762,27255.008,2020,361,0
FixedBudget,Ordered,4,62.5306,119598.5306,16384,362,3
FixedBudget,Unordered,4,65.4659,123746.5725,16384,363,2
EarlyClose,Ordered,4,57.7795,104335.8586,14594,364,3
